"DistCoast","Phase","Area","Count","Depth","Year","Month","Day","YearMonth","XPos","YPos","TransectID"
10.292,"A",0.38422596,0,27.42,2000,1,14,"2000/1",656158.3058,6043912.32,"20000114.t1"
9.992,"A",0.956,0,27.59,2000,1,14,"2000/1",656125.9999,6044263.608,"20000114.t1"
9.537,"A",0.956,0,28.52,2000,1,14,"2000/1",656149.016,6044763.339,"20000114.t1"
9.097,"A",0.956,0,28.05,2000,1,14,"2000/1",656151.7251,6045263.48,"20000114.t1"
8.686,"A",0.956,0,27.6,2000,1,14,"2000/1",656110.3687,6045763.437,"20000114.t1"
8.244,"A",0.956,0,27.34,2000,1,14,"2000/1",656141.806,6046263.273,"20000114.t1"
7.811,"A",0.956,0,26.69,2000,1,14,"2000/1",656162.2716,6046763.183,"20000114.t1"
7.412,"A",0.956,0,25.72,2000,1,14,"2000/1",656139.0033,6047263.226,"20000114.t1"
7.014,"A",0.956,0,24.39,2000,1,14,"2000/1",656135.9663,6047763.283,"20000114.t1"
6.611,"A",0.956,0,22.23,2000,1,14,"2000/1",656148.4476,6048263.222,"20000114.t1"
6.177,"A",0.956,0,21.45,2000,1,14,"2000/1",656143.2101,6048763.361,"20000114.t1"
5.728,"A",0.956,0,19.16,2000,1,14,"2000/1",656174.5897,6049262.902,"20000114.t1"
5.3,"A",0.956,0,16.99,2000,1,14,"2000/1",656174.9212,6049763.149,"20000114.t1"
4.875,"A",0.956,0,14.63,2000,1,14,"2000/1",656186.7813,6050264.549,"20000114.t1"
4.479,"A",0.956,0,12.42,2000,1,14,"2000/1",656144.7501,6050764.323,"20000114.t1"
4.076,"A",0.956,0,12.53,2000,1,14,"2000/1",656069.2114,6051259.519,"20000114.t1"
3.669,"A",0.956,0,11.41,2000,1,14,"2000/1",656034.0651,6051760.76,"20000114.t1"
3.362,"A",0.956,0,10.37,2000,1,14,"2000/1",655889.5529,6052243.12,"20000114.t1"
3.058,"A",0.956,0,10.14,2000,1,14,"2000/1",655786.0973,6052732.673,"20000114.t1"
2.742,"A",0.956,0,9.91,2000,1,14,"2000/1",655676.9002,6053224.351,"20000114.t1"
2.324,"A",0.956,0,8.76,2000,1,14,"2000/1",655675.4825,6053728.119,"20000114.t1"
1.939,"A",0.956,0,7.69,2000,1,14,"2000/1",655658.7223,6054228.432,"20000114.t1"
1.589,"A",0.956,0,6.8,2000,1,14,"2000/1",655642.0131,6054729.728,"20000114.t1"
1.179,"A",0.956,0,5.27,2000,1,14,"2000/1",655664.6946,6055231.347,"20000114.t1"
0.74,"A",0.956,0,4.64,2000,1,14,"2000/1",655739.3735,6055727.257,"20000114.t1"
0.318,"A",0.956,0,2.71,2000,1,14,"2000/1",655820.2937,6056221.07,"20000114.t1"
0.172,"A",0.624333008,0,1.58,2000,1,14,"2000/1",658183.9397,6054570.227,"20000114.t2"
0.527,"A",0.956,0,4.57,2000,1,14,"2000/1",658216.2119,6054158.177,"20000114.t2"
0.905,"A",0.956,0,5.18,2000,1,14,"2000/1",658266.7937,6053660.362,"20000114.t2"
1.295,"A",0.956,0,5.73,2000,1,14,"2000/1",658295.1951,6053160.913,"20000114.t2"
1.71,"A",0.956,0,7.03,2000,1,14,"2000/1",658325.0245,6052660.879,"20000114.t2"
2.163,"A",0.956,0,8.47,2000,1,14,"2000/1",658326.0201,6052159.404,"20000114.t2"
2.635,"A",0.956,0,8.59,2000,1,14,"2000/1",658272.9187,6051660.915,"20000114.t2"
